Vehicle Name,Rate,Destination,UpdatedDate
LCL,0, Sangamner,02/04/2022
LCL,0, Secunderabad,02/04/2022
LCL,0,1075 Riyad El solh,02/04/2022
LCL,0,1585877814 TEHRAN/IRAN,02/04/2022
LCL,0,2555 BRUGG,02/04/2022
LCL,0,6th October City,02/04/2022
LCL,0,Agra,02/04/2022
LCL,0,Ahmedabad,02/04/2022
LCL,0,Ahmednagar,02/04/2022
LCL,0,Akola,02/04/2022
LCL,0,Aligrah,02/04/2022
LCL,0,Aluva,02/04/2022
LCL,0,Alwar,02/04/2022
LCL,0,Ambala,02/04/2022
LCL,0,Ambernath,02/04/2022
LCL,0,AMMAN,02/04/2022
LCL,0,Amritsar,02/04/2022
LCL,0,Andaman Islands,02/04/2022
LCL,0,Andra Pradesh,02/04/2022
LCL,0,At Aslali,02/04/2022
LCL,0,Atlanta GA,02/04/2022
LCL,0,Aurangabad,02/04/2022
LCL,0,Australia,02/04/2022
LCL,0,Badarpura,02/04/2022
LCL,0,Baddi,02/04/2022
LCL,0,"BAGRU(EXTN.), BAGRU",02/04/2022
LCL,0,Bahadurgarh,02/04/2022
LCL,0,"BAHALGARH, SONIPAT",02/04/2022
LCL,0,"Bandar Indahpura, Kulaijaya, Johor",02/04/2022
LCL,0,BANGLADESH,02/04/2022
LCL,0,Banten,02/04/2022
LCL,0,Barabanki,02/04/2022
LCL,0,BARAMATI,02/04/2022
LCL,0,Barcelona,02/04/2022
LCL,0,Barelly,02/04/2022
LCL,0,Baroda,02/04/2022
LCL,0,Bawana Industrial Area,02/04/2022
LCL,0,Bazpur,02/04/2022
LCL,0,Bellary,02/04/2022
LCL,0,Bhachau,02/04/2022
LCL,0,Bharatpur,02/04/2022
LCL,0,Bharuch,02/04/2022
LCL,0,Bhiwadi,02/04/2022
LCL,0,Bhopal,02/04/2022
LCL,0,Bhosari/pimpri,02/04/2022
LCL,0,Bhubaneshwar,02/04/2022
LCL,0,Bibvewadi,02/04/2022
LCL,0,Bidadi,02/04/2022
LCL,0,Bilaspur,02/04/2022
LCL,0,Budenheim,02/04/2022
LCL,0,Bulandshahar,02/04/2022
LCL,0,Bundi,02/04/2022
LCL,0,CALICUT,02/04/2022
LCL,0,CHAD,02/04/2022
LCL,0,Chandigarh,02/04/2022
LCL,0,Chandrapur,02/04/2022
LCL,0,Changodar,02/04/2022
LCL,0,Channarayapatna,02/04/2022
LCL,0,Chennai,02/04/2022
LCL,0,Chhibramau,02/04/2022
LCL,0,CHHINDWARA,02/04/2022
LCL,0,Chitradurga,02/04/2022
LCL,0,Chittore,02/04/2022
LCL,0,Coimbatore,02/04/2022
LCL,0,Colombo,02/04/2022
LCL,0,Cuttack,02/04/2022
LCL,0,Dahej,02/04/2022
LCL,0,Daman,02/04/2022
LCL,0,Dar Es Salaam,02/04/2022
LCL,0,Dasna,02/04/2022
LCL,0,Dehradun,02/04/2022
LCL,0,Delhi,02/04/2022
LCL,0,Dhamtari,02/04/2022
LCL,0,"Dhar, Madhya pradesh",02/04/2022
LCL,0,DHARWAD,02/04/2022
LCL,0,Dhayari (Pune),02/04/2022
LCL,0,Dholpur,02/04/2022
LCL,0,Dhuri,02/04/2022
LCL,0,Dist - Kurukshetra  Haryana,02/04/2022
LCL,0,DUBAI,02/04/2022
LCL,0,"Durban, South Africa",02/04/2022
LCL,0,East Godavari,02/04/2022
LCL,0,"El Maadi, Cairo",02/04/2022
LCL,0,Ernakulam,02/04/2022
LCL,0,ERODE,02/04/2022
LCL,0,Faizabad,02/04/2022
LCL,0,Faridabad,02/04/2022
LCL,0,"FAZILKA,FEROZEPUR",02/04/2022
LCL,0,Fiji,02/04/2022
LCL,0,Gandhidham,02/04/2022
LCL,0,Gandhinagar,02/04/2022
LCL,0,Gangaikondam,02/04/2022
LCL,0,Gautambudh Nagar,02/04/2022
LCL,0,Gaziyabad,02/04/2022
LCL,0,"Gebze, Kocaeli",02/04/2022
LCL,0,Goa,02/04/2022
LCL,0,Goblej,02/04/2022
LCL,0,Godhara,02/04/2022
LCL,0,Gondal ,02/04/2022
LCL,0,"GUEDIAWAYE,  DAKAR",02/04/2022
LCL,0,Gulbarga,02/04/2022
LCL,0,Gummidipoondi,02/04/2022
LCL,0,Guntur,02/04/2022
LCL,0,Gurgaon,02/04/2022
LCL,0,Guwahati,02/04/2022
LCL,0,Ha Noi,02/04/2022
LCL,0,Hapur,02/04/2022
LCL,0,Haridwar,02/04/2022
LCL,0,Haryana,02/04/2022
LCL,0,Hathras,02/04/2022
LCL,0,Himjal,02/04/2022
LCL,0,Himmatnagar,02/04/2022
LCL,0,Hiriyur,02/04/2022
LCL,0,Hisar,02/04/2022
LCL,0,Ho Chi Minh City,02/04/2022
LCL,0,Hoshiarpur,02/04/2022
LCL,0,Hosur,02/04/2022
LCL,0,Hubli,02/04/2022
LCL,0,HUNGARY,02/04/2022
LCL,0,Hyderabad,02/04/2022
LCL,0,Indonesia,02/04/2022
LCL,0,Indore,02/04/2022
LCL,0,Iran,02/04/2022
LCL,0,Iraq,02/04/2022
LCL,0,ITALY,02/04/2022
LCL,0,Jabalpur,02/04/2022
LCL,0,"Jagatpur , Cuttack",02/04/2022
LCL,0,Jaipur,02/04/2022
LCL,0,JAKARTA,02/04/2022
LCL,0,Jalandhar,02/04/2022
LCL,0,Jalgaon,02/04/2022
LCL,0,JALNA,02/04/2022
LCL,0,Jammu,02/04/2022
LCL,0,Jaysingpur,02/04/2022
LCL,0,JEDDAH,02/04/2022
LCL,0,Jhansi,02/04/2022
LCL,0,"Jharmajr, Baddi",02/04/2022
LCL,0,Jind,02/04/2022
LCL,0,Jodhpur,02/04/2022
LCL,0,"JP Nagar, Reva, M.P.",02/04/2022
LCL,0,Junction. PERUNDURAI,02/04/2022
LCL,0,Junnagadh,02/04/2022
LCL,0,Kabul,02/04/2022
LCL,0,Kadapa,02/04/2022
LCL,0,Kaddodra,02/04/2022
LCL,0,Kakinada,02/04/2022
LCL,0,Kalamboli,02/04/2022
LCL,0,Kampala,02/04/2022
LCL,0,Kamrup,02/04/2022
LCL,0,Kanchipuram,02/04/2022
LCL,0,Kandla - 06,02/04/2022
LCL,0,Kangayam,02/04/2022
LCL,0,Kangra,02/04/2022
LCL,0,Kannauj,02/04/2022
LCL,0,Kanpur,02/04/2022
LCL,0,Kapurthala,02/04/2022
LCL,0,Karad,02/04/2022
LCL,0,Karnal,02/04/2022
LCL,0,Karur,02/04/2022
LCL,0,Karwar,02/04/2022
LCL,0,Kerala,02/04/2022
LCL,0,Khalapur,02/04/2022
LCL,0,Khandelia,02/04/2022
LCL,0,Khopoli,02/04/2022
LCL,0,Khurda,02/04/2022
LCL,0,Kolhapur,02/04/2022
LCL,0,Kolkata,02/04/2022
LCL,0,Koppal,02/04/2022
LCL,0,Kota,02/04/2022
LCL,0,Kothamangalam,02/04/2022
LCL,0,Kundli,02/04/2022
LCL,0,KUNSHAN CITY,02/04/2022
LCL,0,Kurakumbh,02/04/2022
LCL,0,Kurnool,02/04/2022
LCL,0,La Roca del Valles,02/04/2022
LCL,0,Latur ,02/04/2022
LCL,0,LE HAVRE CEDEX,02/04/2022
LCL,0,Lucknow,02/04/2022
LCL,0,Ludhiana,02/04/2022
LCL,0,Ludhiana ,02/04/2022
LCL,0,Madurai,02/04/2022
LCL,0,Mahaboob Nagar,02/04/2022
LCL,0,Malaysia,02/04/2022
LCL,0,Male,02/04/2022
LCL,0,Malerkotla,02/04/2022
LCL,0,Malur,02/04/2022
LCL,0,Manchar,02/04/2022
LCL,0,Mandi,02/04/2022
LCL,0,Manglore,02/04/2022
LCL,0,"Mapusa, Goa",02/04/2022
LCL,0,Mathura,02/04/2022
LCL,0,Mau,02/04/2022
LCL,0,Meerut,02/04/2022
LCL,0,Mehsana,02/04/2022
LCL,0,Mohali,02/04/2022
LCL,0,Morbi,02/04/2022
LCL,0,Morena,02/04/2022
LCL,0,Mozambique,02/04/2022
LCL,0,Muktsar,02/04/2022
LCL,0,Mumbai,02/04/2022
LCL,0,"Murthal, Sonepat",02/04/2022
LCL,0,Muzaffarnagar,02/04/2022
LCL,0,Mysore,02/04/2022
LCL,0,Nagpur,02/04/2022
LCL,0,Nalgonda,02/04/2022
LCL,0,Nallasopar (East),02/04/2022
LCL,0,Nasik,02/04/2022
LCL,0,Navi Mumbai,02/04/2022
LCL,0,Navsari,02/04/2022
LCL,0,Neemrana,02/04/2022
LCL,0,Nelamangala,02/04/2022
LCL,0,NELLORE,02/04/2022
LCL,0,Nepal,02/04/2022
LCL,0,NEW MANAGALORE,02/04/2022
LCL,0,Noida,02/04/2022
LCL,0,Osmanabad,02/04/2022
LCL,0,Paithan,02/04/2022
LCL,0,Palakkad,02/04/2022
LCL,0,Palani TK,02/04/2022
LCL,0,Palwal,02/04/2022
LCL,0,"Panadura, Sri Lanka",02/04/2022
LCL,0,Panipat,02/04/2022
LCL,0,Pannipitiya,02/04/2022
LCL,0,Panoli,02/04/2022
LCL,0,Paradeep,02/04/2022
LCL,0,Parakkadavu,02/04/2022
LCL,0,Pardi,02/04/2022
LCL,0,Patalganga,02/04/2022
LCL,0,Patan,02/04/2022
LCL,0,Pathankot,02/04/2022
LCL,0,Patna,02/04/2022
LCL,0,Pazhayakayal,02/04/2022
LCL,0,Pelabuhan Klang,02/04/2022
LCL,0,Periyakulam,02/04/2022
LCL,0,Phuentsholing,02/04/2022
LCL,0,Pindora,02/04/2022
LCL,0,Pirangut,02/04/2022
LCL,0,Pitampur,02/04/2022
LCL,0,Pollachi,02/04/2022
LCL,0,PONDICHERRY,02/04/2022
LCL,0,Pondy,02/04/2022
LCL,0,Ponta Sahib HP,02/04/2022
LCL,0,PUDUCHERRY,02/04/2022
LCL,0,Pune,02/04/2022
LCL,0,Rai,02/04/2022
LCL,0,Raichur,02/04/2022
LCL,0,Raipur,02/04/2022
LCL,0,Rajagiriya,02/04/2022
LCL,0,Rajapalem,02/04/2022
LCL,0,Rajkot,02/04/2022
LCL,0,RAJNANDGAON,02/04/2022
LCL,0,Rajpura ,02/04/2022
LCL,0,Ramabai Nagar,02/04/2022
LCL,0,Ramnagar,02/04/2022
LCL,0,Ranchi,02/04/2022
LCL,0,Ranga Reddy,02/04/2022
LCL,0,Rangapur,02/04/2022
LCL,0,RANGAREDDY DIST,02/04/2022
LCL,0,Ratlam,02/04/2022
LCL,0,Ratnagiri,02/04/2022
LCL,0,Rewa,02/04/2022
LCL,0,Roha,02/04/2022
LCL,0,Rohtak,02/04/2022
LCL,0,Roorkee,02/04/2022
LCL,0,Ropar,02/04/2022
LCL,0,"RR Dist, Maheshwaram(M)",02/04/2022
LCL,0,Rudrapur,02/04/2022
LCL,0,Sahajpur,02/04/2022
LCL,0,Saharanpur,02/04/2022
LCL,0,Sakhoon Highway,02/04/2022
LCL,0,Salem,02/04/2022
LCL,0,"SALEM, TAMIL NADU",02/04/2022
LCL,0,Sameypur,02/04/2022
LCL,0,Samutsakorn,02/04/2022
LCL,0,Sanand,02/04/2022
LCL,0,Sangareddy,02/04/2022
LCL,0,SANGLI,02/04/2022
LCL,0,Santej,02/04/2022
LCL,0,SARIGAM,02/04/2022
LCL,0,Satara,02/04/2022
LCL,0,Sativali,02/04/2022
LCL,0,Secunderabad,02/04/2022
LCL,0,Secunderabad ,02/04/2022
LCL,0,Shadara,02/04/2022
LCL,0,"SHAHPUR, ALIGARH",02/04/2022
LCL,0,Shahpurjat,02/04/2022
LCL,0,"Shamshi, Kullu, HP",02/04/2022
LCL,0,Shanghai,02/04/2022
LCL,0,Shimoga,02/04/2022
LCL,0,Shirwal,02/04/2022
LCL,0,"SIDDHPUR, PATAN",02/04/2022
LCL,0,Sikandrabad,02/04/2022
LCL,0,Siliguri,02/04/2022
LCL,0,Silvasa,02/04/2022
LCL,0,"Silvasa, Castrol",02/04/2022
LCL,0,Sirohi,02/04/2022
LCL,0,"SITARAMPUR, BARDHAMAN",02/04/2022
LCL,0,Solan,02/04/2022
LCL,0,Solapur,02/04/2022
LCL,0,Sonepat,02/04/2022
LCL,0,SOROCABA,02/04/2022
LCL,0,Sricity,02/04/2022
LCL,0,Sriganganagar,02/04/2022
LCL,0,Srikakulam,02/04/2022
LCL,0,Sriperumbudur,02/04/2022
LCL,0,SURAT,02/04/2022
LCL,0,Switzerland,02/04/2022
LCL,0,Ta. Dascroi,02/04/2022
LCL,0,Tada,02/04/2022
LCL,0,Taluka Lakhani,02/04/2022
LCL,0,Tapukara,02/04/2022
LCL,0,Telangana,02/04/2022
LCL,0,THIRUNINRAVUR,02/04/2022
LCL,0,Thiruvallur,02/04/2022
LCL,0,Thrissur,02/04/2022
LCL,0,Tirunelveli,02/04/2022
LCL,0,Tiruvallur,02/04/2022
LCL,0,TOAMASINA,02/04/2022
LCL,0,Trichy,02/04/2022
LCL,0,Trivandrum,02/04/2022
LCL,0,Tumkur,02/04/2022
LCL,0,Tuticorin,02/04/2022
LCL,0,"U.S. Nagar Pantanagar, Rudrapur",02/04/2022
LCL,0,Udaipur,02/04/2022
LCL,0,"Una, H.P.",02/04/2022
LCL,0,Unnao,02/04/2022
LCL,0,"Uppal, Telangana",02/04/2022
LCL,0,Vadodara,02/04/2022
LCL,0,Valsad,02/04/2022
LCL,0,Vapi,02/04/2022
LCL,0,Vasana (Iawa) Sanand,02/04/2022
LCL,0,Vellore,02/04/2022
LCL,0,Verna,02/04/2022
LCL,0,"Vidhyanagar, Karad",02/04/2022
LCL,0,VIJAYAPUR,02/04/2022
LCL,0,Virudhunagar,02/04/2022
LCL,0,Visakhapatnam,02/04/2022
LCL,0,wada,02/04/2022
LCL,0,Wadhwan,02/04/2022
LCL,0,"Wadwani, Beed",02/04/2022
LCL,0,Wai,02/04/2022
LCL,0,Wayanad,02/04/2022
LCL,0,West Godavari,02/04/2022
